dataset,shot,shot_label,backbone,method,method_variant,seed,cache_entries,trainable_params,training_time_sec,inference_time_sec,images_per_second,gpu_memory_mb,num_prototypes_per_class,prototype_init,run_dir,metrics_json_path,preflight_report_path
aid,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,1,60,0,0.0,7.553963332436979,529.5233540284557,,2,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_2/medoid/seed_1/20260519T094744_3ee4fcd8,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_2/medoid/seed_1/20260519T094744_3ee4fcd8/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot4_M2_medoid_seed1_20260519T094744/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T094813/result_run_preflight_report.json
aid,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,1,60,0,0.0,7.353880696929991,543.9304993987557,,2,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_2/random_group_mean/seed_1/20260519T094900_43f0c3ae,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_2/random_group_mean/seed_1/20260519T094900_43f0c3ae/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot4_M2_random_group_mean_seed1_20260519T094900/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T095503/result_run_preflight_report.json
aid,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_medoid,1,120,0,0.0,12.28092567436397,325.7083469163785,,4,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_4/medoid/seed_1/20260519T095537_6c43ff24,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_4/medoid/seed_1/20260519T095537_6c43ff24/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot4_M4_medoid_seed1_20260519T095537/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T095629/result_run_preflight_report.json
aid,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_random_group_mean,1,120,0,0.0,12.154423700645566,329.09828540760395,,4,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_4/random_group_mean/seed_1/20260519T095704_81f6d495,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_4/random_group_mean/seed_1/20260519T095704_81f6d495/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot4_M4_random_group_mean_seed1_20260519T095704/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T095734/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,1,30,0,0.0,5.242909707129002,762.9351301932654,,1,mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_1/mean/seed_1/20260519T095805_85090868,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_1/mean/seed_1/20260519T095805_85090868/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M1_mean_seed1_20260519T095805/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T095827/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,1,30,0,0.0,5.119435790926218,781.3361009605147,,1,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_1/medoid/seed_1/20260519T095853_990857e1,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_1/medoid/seed_1/20260519T095853_990857e1/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M1_medoid_seed1_20260519T095853/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T095911/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,1,30,0,0.0,5.126035084016621,780.3302034495068,,1,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_1/random_group_mean/seed_1/20260519T095938_80ce681b,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_1/random_group_mean/seed_1/20260519T095938_80ce681b/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M1_random_group_mean_seed1_20260519T095938/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T095957/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,1,60,0,0.0,7.334030093625188,545.402725232453,,2,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_2/medoid/seed_1/20260519T100034_5d416c0e,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_2/medoid/seed_1/20260519T100034_5d416c0e/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M2_medoid_seed1_20260519T100034/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100056/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,1,60,0,0.0,7.362267939373851,543.310842927593,,2,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_2/random_group_mean/seed_1/20260519T100128_e4b55875,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_2/random_group_mean/seed_1/20260519T100128_e4b55875/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M2_random_group_mean_seed1_20260519T100128/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100147/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_medoid,1,120,0,0.0,11.930993710644543,335.26126130058196,,4,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_4/medoid/seed_1/20260519T100224_2ba40207,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_4/medoid/seed_1/20260519T100224_2ba40207/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M4_medoid_seed1_20260519T100224/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100250/result_run_preflight_report.json
